id,date_time,walked,missed_reason,sky,temp,rh,conditions,shoes,route,miles,start_steps,end_steps,steps,hours,elasped,rest,mph,laps,mpl,pace,gain,kcal,avg_hr,max_hr,pace.01,pace.02,pace.03,pace.04,pace.05,pace.06,pace.07,pace.08,pace.09,breaks,shuffles,device,app,gps_failure,failure_reason
608,5/4/20 9:26,1,,Fair,55,60,Good,RBX,Fish Creek Linear Park,7.91,444,,,2.20,,,3.60,1,7.91,16.63,76,847,72,117,16.39,16.90,16.61,16.43,16.24,16.23,17.05,17.14,,1,1,Garman vivoactive 3,Connect,0,
609,5/5/20 12:08,1,,Mostly Cloudy,76,53,Good,Skechers,Vandergriff Park,4.61,1419,11400,9981,1.58,,,2.91,1,4.61,16.30,164,526,87,139,15.97,16.35,16.83,15.98,16.22,,,,,0,0,Garman vivoactive 3,Connect,0,
610,5/6/20 9:57,1,,Fair,77,31,Good,RBX,River Legacy West,6.65,1581,15491,13910,1.77,,,3.76,1,6.65,15.90,26,708,72,115,15.28,16.30,16.13,16.11,16.23,15.38,15.79,,,0,0,Garman vivoactive 3,Connect,0,
611,5/7/20 11:14,1,,Mostly Cloudy,81,38,Good,Skechers,Four Parks,5.65,774,12767,11993,1.52,,,3.73,1,5.65,16.08,253,1265,131,152,15.61,16.54,15.92,17.06,15.63,16.22,,,,0,0,Garman vivoactive 3,Connect,0,
612,5/8/20 13:38,1,,Cloudy,68,56,Good,Skechers,Enchanted Lakes,5.58,1020,,,1.53,,,3.64,1,5.58,16.53,144,630,85,117,16.29,16.70,16.36,16.77,16.83,8.00,,,,0,0,Garman vivoactive 3,Connect,0,
613,5/9/20 15:57,1,,Fair,70,,Good,RBX,South Rush Creek Linear Park,4.58,,,,1.23,,,3.71,1,4.58,19.02,7,810,118,136,16.03,16.43,16.16,16.22,,,,,,,,,,,
614,5/10/20 14:24,1,,Fair,75,36,Good,RBX,Fish Creek Linear Park,8.90,1203,19953,18750,2.40,,,3.71,1,8.90,16.20,108,973,84,112,16.34,15.64,15.49,15.90,16.91,15.83,15.97,16.45,17.65,3,,Garman vivoactive 3,Connect,0,
615,5/11/20 9:10,1,,Fair,64,56,Good,Skechers,Vandergriff Park,3.37,1529,14380,12851,0.90,,,3.74,1,4.16,16.00,103,516,108,134,16.26,15.60,15.88,16.67,,,,,,0,0,Garman vivoactive 3,Connect,0,
616,5/12/20 23:53,0,Forecast rain,Light Rain,70,100,Bad,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
617,5/13/20 11:53,1,,Cloudy,73,76,Bad,Skechers,Four Parks,5.64,313,12562,12249,1.57,,,3.60,1,5.64,16.65,217,624,78,109,16.19,16.10,16.45,18.10,16.69,16.22,,,,5,0,Garman vivoactive 3,Connect,0,
618,5/14/20 12:02,1,,Mostly Cloudy / Windy,85,55,Good,RBX,River Legacy North East,6.01,1116,14151,13035,1.58,1.85,0.27,3.80,1,6.01,15.72,92,1206,133,169,15.14,15.14,15.45,16.30,16.13,16.09,15.79,,,6,0,,,,
619,5/15/20 11:38,1,,Cloudy,81,62,Bad,Skechers,Fish Creek Linear Park,7.53,1129,17488,16539,2.00,2.37,0.37,3.77,1,7.53,15.92,371,983,107,139,15.40,15.31,15.20,16.08,71.60,16.33,16.71,15.79,,7,0,Garman vivoactive 3,Connect,0,
